Name or Synonym,RID,Parent RID
circularly polarized transmission mode,RID10656,RID10654
transmit array,RID10658,RID10654
single-tuned transmission mode,RID10660,RID10654
dual-tuned transmission mode,RID10661,RID10654
MR coil detection mode,RID10663,RID10638
linear detection mode,RID10664,RID10663
circularly polarized detection mode,RID10665,RID10663
receiver array,RID10667,RID10663
single-tuned detection mode,RID10670,RID10663
dual-tuned detection mode,RID10671,RID10663
MR preparation or modification technique,RID10673,RID10638
inversion recovery,RID10674,RID10673
saturation recovery,RID10675,RID10673
T2 prep,RID10676,RID10673
T2 star prep,RID10678,RID10673
spectral saturation,RID10680,RID10673
fat saturation,RID10685,RID10680
water saturation,RID10687,RID10680
silicone saturation,RID10689,RID10680
spectral inversion,RID10691,RID10673
fat inversion,RID10693,RID10691
water inversion,RID10695,RID10691
silicone inversion,RID10697,RID10691
magnetization transfer,RID10699,RID10673
spatial saturation,RID10700,RID28826
spin labeling,RID10704,RID10673
driven equilibrium,RID10705,RID10673
two-dimensional selective radiofrequency pulse,RID10706,RID10673
non-spatially selective radiofrequency pulse,RID10708,RID10673
spatial-spectral RF pulse,RID10712,RID10673
tagging pulse,RID10715,RID10673
motion-encoding gradient,RID10716,RID10673
flow-sensitizing gradient,RID10718,RID10716
velocity-encoding gradient,RID10719,RID10718
bipolar gradient,RID10720,RID10719
acceleration-encoding gradient,RID10721,RID10718
diffusion weighting,RID10722,RID10716
cyclic encoding gradient,RID10723,RID10716
gradient moment nulling,RID10724,RID10673
spin lock,RID10727,RID10673
refocusing of all gradients,RID10728,RID10673
refocusing of selected gradients within one TR interval,RID10731,RID10673
refocusing of the gradients in a subsequent TR interval,RID10732,RID10731
spoiling of transverse magnetization,RID10733,RID10673
radiofrequency spoiling,RID10735,RID10733
gradient spoiling,RID10737,RID10733
MR echo type,RID10738,RID10638
gradient echo,RID10739,RID10738
conventional gradient echo,RID10740,RID10739
fast gradient echo,RID10741,RID10739
gradient and spin echo,RID10742,RID10739
echo planar,RID10744,RID10738
spin echo,RID10746,RID10738
fast-spin echo,RID10749,RID10746
conventional spin echo,RID10756,RID10746
k-space trajectory,RID10757,RID10638
Cartesian k-space trajectory,RID10758,RID10757
sequential k-space trajectory,RID10759,RID10758
echo planar k-space trajectory,RID10760,RID10758
centric k-space trajectory,RID10761,RID10758
reverse centric k-space trajectory,RID10762,RID10758
elliptical centric k-space trajectory,RID10763,RID10758
recessed elliptical centric k-space trajectory,RID10764,RID10763
reversed elliptical centric k-space trajectory,RID10765,RID10763
non-Cartesian k-space trajectory,RID10766,RID10757
radial k-space trajectory,RID10767,RID10766
stack of stars k-space trajectory,RID10770,RID10767
VIPR k-space trajectory,RID10772,RID10767
spiral k-space trajectory,RID10773,RID10766
stack of spirals k-space trajectory,RID10774,RID10773
rings k-space trajectory,RID10775,RID10766
cones k-space trajectory,RID10776,RID10766
shells k-space trajectory,RID10777,RID10766
hybrid k-space trajectory,RID10778,RID10757
PROPELLER,RID10779,RID10778
k-space segmentation,RID10782,RID10638
k-space unsegmented,RID10783,RID10782
k-space segmented,RID10784,RID10782
k-space filter,RID10785,RID29007
radial filter,RID10786,RID10785
anti-ringing filter,RID10787,RID10786
elliptical filter,RID10788,RID10786
Fermi filter,RID10789,RID10786
separable filter,RID10790,RID10785
MR tissue contrast attribute,RID10791,RID10638
intermediate weighted,RID10792,RID10791
T1 weighted,RID10794,RID10791
T2 weighted,RID10795,RID10791
T2* weighted,RID10796,RID10791
T2/T1 weighted,RID10798,RID10791
diffusion weighted,RID10799,RID10791
flexible coil,RID10801,RID10813
multinuclear coil,RID10803,RID10813
biopsy coil,RID10805,RID10813
microscopy coil,RID10806,RID10813
internally inserted coil,RID10807,RID10813
endoluminal coil,RID10808,RID10807
endorectal coil,RID10809,RID10808
endovascular coil,RID10810,RID10807
interventional coil,RID10812,RID10807
magnetic resonance imaging coil,RID10813,RID29033
radiofrequency coil,RID10815,RID10813
transmit-receive radiofrequency coil,RID10820,RID10815
primary transmit-receive coil,RID10821,RID10820
transmit radiofrequency coil,RID10824,RID10815
localized transmit coil,RID10826,RID10824
receive radiofrequency coil,RID10830,RID10815
localized receive coil,RID10831,RID10830
functional magnetic resonance imaging coil,RID10835,RID10815
tracker coil,RID10838,RID10815
gradient coil,RID10839,RID10813
whole body gradient coil,RID10840,RID10839
restricted field of view body gradient coil,RID10841,RID10839
localized gradient coil,RID10843,RID10839
shim coil,RID10844,RID10813
resistive shim coil,RID10845,RID10844
superconducting shim coil,RID10846,RID10844
non-linear shim coil,RID10847,RID10844
linear shim coil,RID10849,RID10844
linear resistive shim coil,RID10850,RID10844
curved transducer,RID10854,RID10867
linear transducer,RID10855,RID10867
ultrasound transducer element configuration,RID10857,RID35976
1 dimensional element configuration,RID10858,RID10857
1.5 dimensional element configuration,RID10860,RID10857
symmetric 2 dimensional element configuration,RID10862,RID10857
asymmetric 2 dimensional element configuration,RID10864,RID10857
annular element configuration,RID10866,RID10857
ultrasound transducer,RID10867,RID29019
mechanical transducer,RID10868,RID10867
intravascular rotating crystal transducer,RID10869,RID10868
intravascular rotating mirror transducer,RID10870,RID10868
sector mechanical transducer,RID10871,RID10868
sector annular array transducer,RID10872,RID10868
endocavitary mechanical transducer,RID10873,RID10868
endocavitary annular array transducer,RID10874,RID10868
non-mechanical transducer,RID10875,RID10867
sector phased array transducer,RID10876,RID10875
linear array transducer,RID10877,RID10875
intravascular phased array transducer,RID10879,RID10875
endocavitary phased array transducer,RID10880,RID10875
endocavitary curved linear array transducer,RID10881,RID10889
endocavitary linear transducer,RID10882,RID10875
vector phased array transducer,RID10883,RID10875
single crystal transducer,RID10884,RID10875
split crystal transducer,RID10885,RID10875
combined transducer,RID10886,RID10867
curved linear array transducer,RID10887,RID10886
sector phased transducer,RID10888,RID10886
endocavitary transducer,RID10889,RID10867
endorectal transducer,RID10890,RID10889
endovaginal transducer,RID10891,RID10889
endovascular transducer,RID10893,RID10889
transesophageal transducer,RID10895,RID10867
endoscopic transducer,RID10896,RID10867
curved array transducer,RID10897,RID10867
phased array transducer,RID10898,RID10867
mechanical sector transducer,RID10900,RID10868
annular transducer,RID10901,RID10867
A-mode ultrasound,RID10903,RID10326
B-mode ultrasound,RID10904,RID10326
C-mode ultrasound,RID10907,RID10326
Doppler mode,RID10908,RID10326
color Doppler mode,RID10909,RID10908
power Doppler mode,RID10910,RID10908
spectral Doppler mode,RID10911,RID10908
harmonic ultrasound,RID10913,RID10326
phase-cancellation harmonic ultrasound,RID10914,RID10913
M-mode,RID10915,RID28642
stimulated acoustic emission,RID10916,RID10326
low intensity pulse,RID10918,RID10916
high intensity pulse,RID10919,RID10916
three dimensional ultrasound,RID10920,RID10326
duplex ultrasound,RID10922,RID10326
triplex ultrasound,RID10923,RID10326
extended field of view ultrasound,RID10924,RID10326
4 dimensional ultrasound,RID10926,RID10326
cine loop,RID10928,RID10370
volume imaging,RID10930,RID10326
elastography,RID10932,RID10326
strain imaging,RID10933,RID10326
nuclear imaging attribute,RID10934,RID35976
collimator,RID10935,RID29033
pinhole collimator,RID10936,RID10935
multihole collimator,RID10937,RID10935
stationary multi-channel,RID10938,RID10937
seven-pinhole collimator,RID10939,RID10937
rotating slant hole collimator,RID10940,RID10937
xray collimator,RID10941,RID10935
nuclear collimator geometry,RID10942,RID10934
parallel hole collimator,RID10943,RID10942
low energy parallel hole collimator,RID10944,RID10943
low energy parallel hole ultra-high resolution,RID10945,RID10944
low energy parallel hole high-resolution,RID10946,RID10944
low energy parallel hole general purpose,RID10947,RID10944
low energy parallel hole high sensitivity,RID10948,RID10944
medium energy parallel hole collimator,RID10949,RID10943
medium energy parallel hole high-resolution,RID10950,RID10949
medium energy parallel hole general purpose,RID10951,RID10949
high energy parallel hole collimator,RID10952,RID10943
ultra-high energy parallel hole collimator,RID10953,RID10943
diverging collimator,RID10954,RID10942
converging collimator,RID10955,RID10942
ring collimator,RID10956,RID10942
nuclear imaging acquisition rate,RID10957,RID10934
dynamic nuclear imaging acquisition,RID10958,RID28933
serial nuclear imaging acquisition,RID10959,RID28933
static nuclear imaging acquisition,RID10960,RID28933
gated nuclear imaging acquisition,RID10961,RID28933
nuclear camera,RID10962,RID29033
positron emission tomography camera,RID10963,RID10962
gamma camera,RID10965,RID10962
nuclear detector quantity,RID10968,RID10934
single detector,RID10969,RID10968
multi-detector,RID10970,RID10968
nuclear solid state detector material,RID10971,RID10934
cadmium telluride,RID10972,RID10971
cadmium zinc telluride,RID10973,RID10971
cadmium iodide,RID10975,RID10971
nuclear detector geometry type,RID10976,RID10934
planar nuclear detector,RID10977,RID10976
full ring nuclear detector,RID10978,RID10976
partial ring nuclear detector,RID10979,RID10976
rotating 2D columns nuclear detector,RID10980,RID10976
hybrid nuclear detector,RID10981,RID10976
nuclear diode,RID10982,RID29033
PIN diode,RID10983,RID10982
avalanche diode,RID10984,RID10982
silicon drift diode,RID10985,RID10982
cross-sectional attenuation correction method,RID10986,RID29032
CT attenuation correction,RID10987,RID10986
MR attenuation correction,RID10988,RID10986
radioactive source attenuation correction,RID10989,RID10986
Gd scanning line source attenuation correction,RID10991,RID10989
Ge rod source attenuation correction,RID10992,RID10989
Cs rod source attenuation correction,RID10993,RID10989
nuclear crystal detector material,RID10994,RID10934
BGO,RID10995,RID10994
LSO,RID10997,RID10994
LYSO,RID10999,RID10994
exemplary quality,RID11,RID10
GSO,RID11001,RID10994
NaI,RID11003,RID10994
interventional procedure attribute,RID11005,RID35976
anesthesia,RID11006,RID39128
general anesthesia,RID11007,RID11006
local anesthesia,RID11008,RID11006
tumescent anesthesia,RID11009,RID11006
regional anesthesia,RID11010,RID11006
epidural anesthesia,RID11011,RID11006
spinal anesthesia,RID11012,RID11006
sedation depth,RID11013,RID11005
deep sedation,RID11014,RID11013
